Altitude(m)	beta_aerosol(m^-1 sr^-1)	beta_molecular(m^-1 sr^-1)
2592.59662	1.81698292272e-07	1.16665529133e-06
2600.06808	1.93349405728e-07	1.16576670454e-06
2607.53954	2.19157778031e-07	1.16487863561e-06
2615.011	2.63069582447e-07	1.16399108435e-06
2622.48246	2.65753575177e-07	1.16310405054e-06
2629.95392	2.39694541678e-07	1.16221753397e-06
2637.42538	2.71469550832e-07	1.16133153444e-06
2644.89684	3.05190055495e-07	1.16044605173e-06
2652.3683	2.78675962091e-07	1.15956108564e-06
2659.83976	2.83836927111e-07	1.15867663595e-06
2667.31122	2.99929442302e-07	1.15779270246e-06
2674.78268	3.06783163187e-07	1.15690928496e-06
2682.25414	3.15856326673e-07	1.15602638325e-06
2689.7256	2.84273734221e-07	1.1551439971e-06
2697.19706	2.64531154061e-07	1.15426212632e-06
2704.66852	2.73212840809e-07	1.15338077069e-06
2712.13998	2.84193060237e-07	1.15249993e-06
2719.61144	3.11209399461e-07	1.15161960406e-06
2727.0829	2.9085023789e-07	1.15073979264e-06
2734.55436	3.24416533905e-07	1.14986049555e-06
2742.02582	2.99097073339e-07	1.14898171256e-06
2749.49728	3.21267732975e-07	1.14810344349e-06
2756.96874	2.80776261574e-07	1.1472256881e-06
2764.4402	2.88143455452e-07	1.14634844621e-06
2771.91166	2.58083173589e-07	1.14547171759e-06
2779.38312	2.59842633374e-07	1.14459550205e-06
2786.85458	2.50726692723e-07	1.14371979936e-06
2794.32604	2.70438744727e-07	1.14284460934e-06
2801.7975	2.32560694056e-07	1.14196993176e-06
2809.26896	1.68459551251e-07	1.14109576642e-06
2816.74042	2.45527642909e-07	1.14022211311e-06
2824.21188	3.32750346973e-07	1.13934897162e-06
2831.68334	2.72979032026e-07	1.13847634175e-06
2839.1548	2.78678810212e-07	1.13760422329e-06
2846.62626	3.1644688412e-07	1.13673261603e-06
2854.09772	2.66698924793e-07	1.13586151976e-06
2861.56918	3.24377252364e-07	1.13499093428e-06
2869.04064	2.54145595039e-07	1.13412085937e-06
2876.5121	2.74297854238e-07	1.13325129483e-06
2883.98356	3.04969551426e-07	1.13238224046e-06
2891.45502	3.1578473696e-07	1.13151369604e-06
2898.92648	2.90695596701e-07	1.13064566137e-06
2906.39794	3.44782015554e-07	1.12977813624e-06
2913.8694	3.54497680891e-07	1.12891112044e-06
2921.34086	3.39659024821e-07	1.12804461377e-06
2928.81232	2.81784469978e-07	1.12717861601e-06
2936.28378	3.73019985446e-07	1.12631312697e-06
2943.75524	4.01762198058e-07	1.12544814643e-06
2951.2267	3.36997522634e-07	1.12458367419e-06
2958.69816	3.1373932215e-07	1.12371971004e-06
2966.16962	3.45775794361e-07	1.12285625377e-06
2973.64108	3.61547783014e-07	1.12199330518e-06
2981.11254	3.92021472105e-07	1.12113086406e-06
2988.584	3.6832183579e-07	1.1202689302e-06
2996.05546	3.36542106595e-07	1.1194075034e-06
3003.52692	3.47368970271e-07	1.11854658345e-06
3010.99838	3.80963017135e-07	1.11768617014e-06
3018.46984	3.02156992961e-07	1.11682626326e-06
3025.9413	3.81585386997e-07	1.11596686262e-06
3033.41276	3.29918099356e-07	1.115107968e-06
3040.88422	3.22520016019e-07	1.11424957919e-06
3048.35568	3.14238599606e-07	1.113391696e-06
3055.82714	4.02504350535e-07	1.1125343182e-06
3063.2986	4.09980621277e-07	1.11167744561e-06
3070.77006	3.58232875604e-07	1.110821078e-06
3078.24152	3.83228503034e-07	1.10996521519e-06
3085.71298	3.35858148849e-07	1.10910985695e-06
3093.18444	3.81902888932e-07	1.10825500308e-06
3100.6559	4.01948374987e-07	1.10740065337e-06
3108.12736	4.38124534259e-07	1.10654680763e-06
3115.59882	3.40147596173e-07	1.10569346565e-06
3123.07028	3.43140815609e-07	1.10484062721e-06
3130.54174	3.74673799926e-07	1.10398829211e-06
3138.0132	4.4686855791e-07	1.10313646015e-06
3145.48466	3.48950855144e-07	1.10228513112e-06
3152.95612	3.94936165853e-07	1.10143430481e-06
3160.42758	3.71219645643e-07	1.10058398103e-06
3167.89904	3.65391704028e-07	1.09973415955e-06
3175.3705	3.65804503473e-07	1.09888484019e-06
3182.84196	3.48545503881e-07	1.09803602273e-06
3190.31342	4.07469178726e-07	1.09718770696e-06
3197.78488	3.69135778986e-07	1.09633989268e-06
3205.25634	3.67697105695e-07	1.0954925797e-06
3212.7278	3.792514299e-07	1.09464576779e-06
3220.19926	3.89230581384e-07	1.09379945675e-06
3227.67072	3.43135575605e-07	1.09295364639e-06
3235.14218	3.47890882593e-07	1.09210833649e-06
3242.61364	3.6681035836e-07	1.09126352685e-06
3250.0851	3.54879395919e-07	1.09041921726e-06
3257.55656	3.09916038419e-07	1.08957540752e-06
3265.02802	3.22784964144e-07	1.08873209742e-06
3272.49948	3.56146716036e-07	1.08788928677e-06
3279.97094	3.81271344458e-07	1.08704697535e-06
3287.4424	4.23792968785e-07	1.08620516295e-06
3294.91386	3.37243026282e-07	1.08536384938e-06
3302.38532	4.11896568699e-07	1.08452303443e-06
3309.85678	4.19315274353e-07	1.0836827179e-06
3317.32824	3.54036186207e-07	1.08284289957e-06
3324.7997	3.32883720111e-07	1.08200357925e-06
3332.27116	3.26483782117e-07	1.08116475673e-06
3339.74262	2.87065606086e-07	1.0803264318e-06
3347.21408	3.16844472834e-07	1.07948860427e-06
3354.68554	3.54069604057e-07	1.07865127392e-06
3362.157	3.69992694855e-07	1.07781444055e-06
3369.62846	2.87236496497e-07	1.07697810396e-06
3377.09992	3.58360861307e-07	1.07614226394e-06
3384.57138	3.10312570118e-07	1.0753069203e-06
3392.04284	3.07671333462e-07	1.07447207282e-06
3399.5143	3.18806357219e-07	1.07363772129e-06
3406.98576	3.04942059546e-07	1.07280386553e-06
3414.45722	2.87147196997e-07	1.07197050531e-06
3421.92868	2.82232142074e-07	1.07113764045e-06
3429.40014	2.85687401849e-07	1.07030527073e-06
3436.8716	2.60749086713e-07	1.06947339595e-06
3444.34306	2.46905189212e-07	1.0686420159e-06
3451.81452	3.02568415599e-07	1.06781113039e-06
3459.28598	2.82976168368e-07	1.0669807392e-06
3466.75744	2.38072376016e-07	1.06615084214e-06
3474.2289	3.17557589577e-07	1.065321439e-06
3481.70036	2.34393223449e-07	1.06449252957e-06
3489.17182	2.22641046669e-07	1.06366411366e-06
3496.64328	2.62751358639e-07	1.06283619106e-06
3504.11474	2.43063611133e-07	1.06200876157e-06
3511.5862	2.07276237532e-07	1.06118182498e-06
3519.05766	2.62642441373e-07	1.06035538108e-06
3526.52912	2.19542566479e-07	1.05952942969e-06
3534.00058	2.37225450398e-07	1.05870397058e-06
3541.47204	1.75338539362e-07	1.05787900356e-06
3548.9435	2.9621848267e-07	1.05705452843e-06
3556.41496	2.65561160707e-07	1.05623054498e-06
3563.88642	1.67052078734e-07	1.05540705301e-06
3571.35788	2.25711767025e-07	1.05458405232e-06
3578.82934	2.36413834434e-07	1.0537615427e-06
3586.3008	2.71016700523e-07	1.05293952395e-06
3593.77226	2.52820186401e-07	1.05211799586e-06
3601.24372	2.57404511643e-07	1.05129695824e-06
3608.71518	2.52534259313e-07	1.05047641088e-06
3616.18664	2.14859468605e-07	1.04965635358e-06
3623.6581	2.38241198475e-07	1.04883678613e-06
3631.12956	2.19226573463e-07	1.04801770834e-06
3638.60102	2.70553687601e-07	1.04719912e-06
3646.07248	2.72937076084e-07	1.0463810209e-06
3653.54394	2.28910400943e-07	1.04556341084e-06
